When,AO,QIC,PAX
2/14/2022,Jolly Roger:201,Green Egg,"Larry Legend, TracFone, Sodapopinski, Fresh Prince, Chowdah"
2/11/2022,Honey Badger:70,Kia,"Ivermectin, Low Tide, Coxswain, Managu, Spot, Theologian"
2/12/2022,The Falcon:18,Boucher,"2Ply, Amphibious, Banana Slug, Bells, Botched, Champ, Draper, Fiddle Stick, Foot Joy, Grandpa Ninja, Legally Blond, Misery, Ocho, OPEC, Prancing Horse, Red Tape, Swamp, Yurt"
2/11/2022,Duck and Weave:32,Slug,"Oatmeal, Denali, FishNChips, Slug, and four more!"
2/11/2022,Animal House:26,Pookie,"Balki, Food Lion, Haagen Dazs, Wile E"
2/9/2022,The Skunk:69,Nubbin,"Fabio, Denali, Dinghy, Nickelback, Toast MacQueen, Roy.G.Biv, Halfback, Milton, Elf, Bush League"
2/7/2022,The Rock:51,Halfback,"Dinghy, Denali"
2/9/2022,Conjunction Junction:68,Nightshift,"Big Kat, Oatmeal, Malware, Slug"
2/8/2022,The Piranha:113,Scapula,"Scapula, Castaway, Bellhop, Cosmo, Pancake, Geppetto, Pallino(RESPECT), Swamp, Awesome Baby, Fiddlestick,(RESPECT) Looney(RESPECT), Kia(RESPECT), CherryBaked, Knope, Floyd, Boucher, Cardiac"
2/7/2022,The Eagle:27,Count Chocula,"Prancing Horse, Red Tape, Ocho, Botched, Banana Slug, Max Power, CrashCart, Cosmo, Cherry Baked, Bell's, Grandpa Ninja, Yurt, Castaway, Hutz, Ivermectin"
2/7/2022,The Thicket:24,Spitbucket and Bumpdraft,"Greenacres, Bumpdraft, Maraschino, Jingles, Jorts, Mothman, Quicken, Madden, Brotox, Turkeyjurkey, Brotox, Spitbucket, Jingles"
2/7/2022,Jolly Roger:201,Iggy Peck,"Fresh Prince, Green Egg, Sodapopinski, Magellan, Knope, Happy Trees, TI, Chowdah, ShakeIt"
2/5/2022,RomperRoom:170,Awesome Baby,"Thunderstruck, Count Chocula, Legoland, Knope, Sandman, Ledecky, Snowflake, Cosmo, Splits"
2/5/2022,The Battering Ram:29,Nightshift,"Flapjack, TPS Reports, Splashback, Hermey, Green Acres, Count Chocula, Montecristo, Oshag Hennessey, Spam, Bump Draft, WaWa, Coxswain, Uzi, Shark Tank, Goldnboy, Vice, Rebar, Quicken, Elwood, Messi, Malware, Potter, Banana Skin"
2/2/2022,The King's Dominion:212,Swamp and Count Chocula,"Vice, FiddleStick, Loonie, Scribble, Max Power, Cosmo, Crash Cart, CherryBaked,  Uzi, Hutz, Boucher, Wreck it Ralph"
2/4/2022,Honey Badger:70,Knope,"Banana Split, Coxswain, Kia, Low Tide, Sweatervest"
2/4/2022,Duck and Weave:32,Mueller,"Bedpan, Buffay, Nickleback, Oatmeal, Toast McQueen"
2/4/2022,The Falcon:18,Nightshift,"Yunus, Wreck It Ralph, OPEC, Red Tape, Crash Cart, Walk About, Lama Lama, Ocho, Grandpa Ninja, Scribble, Fiddlestick, Hutz, Botched, Prancing Horse"
2/3/2022,Paradise:28,Green Acres,"HomegrownBerry, Bump Draft, Vice, Nitro, LacesOut, Rambler, Rebar, Gunny, AttaBoy, CountChocula, Spam, Spooky, Sharktank, TheFinalRose"
2/2/2022,--:10,Knope,"Bellhop, Boucher, Bump Draft, Castaway, Cosmo, Moore, Nickelback, Nightshift, Uzi, Vice"
2/3/2022,Tobacco Road:15,Awesome Baby,"Spot, Loonie, Cosmo, Swamp, CherryBaked, Max Power, Pallino"
2/2/2022,Rameses:12,Lightweight,"Gunny, Champ, Bump Draft, TPS Reports, Rebar, Footjoy, Oh-Shag-Hennessy, Loveseat, Mueller, Elwood, Wile E., Cauliflower, Prancinghorse, Homegrown Berry, Ocho, Flapjack"
2/2/2022,House of Pain:22,Knope,"Banana Slug, Botched, Coxswain, Crabcake, Crimson, Grandpa Ninja,  Ivermectin, Llama Llama, Soybean, Sweatervest, Yunus, Yurt"
2/2/2022,The Earl:59,Quint,"Montecristo, Spartan, CHiPS, Minecraft, Yanni, TFR, Cousin Vinny,"
2/2/2022,Conjunction Junction:68,FishAndChios,"Yo-Yo, Nightshift, The Lawn, Slug, Big Kat, Oatmeal, Malware, Tricurious"
1/25/2022,Owl Theory:229,Boucher,"Banana Split, Bells, Cool J, Pawn, Soybean, Sprinkles, Sweatervest, Theologian, Treehorn"
2/1/2022,The Vortex:16,Boucher,"Coach K, Deep Dish, Food Lion, Funyun, Gunny, Malware, Mueller, Newt, Red October, Sweatervest, The Lawn"
2/1/2022,The Rabbit:41,Cricket,"Paperboy, Homes, Zika, Dueling Banjos, RG3, Mothman, plus special guest appearance of Rambler and Brilliant Proposition."
2/1/2022,The Piranha:113,My Little Pony,"Houtz, Max Power, Cherry Baked, Cardiac, Kia, Pallino, Awesome Baby, Weed N Feed, Loonie, Count Chocula"
1/31/2022,The Rock:51,RoyGBiv,"Nubbin, Fabio, Halfback, Nickelback, Buffay, Dinghy"
1/31/2022,The Eagle:27,Bell's,"Max Power, Swamp, Botched, OPEC, Count Chocula, Yurt, Scribble, Grandpa Ninja, Prancing Horse, Ivermectin"
1/31/2022,--:10,Montecristo,"Spartan, TFR, Yanni, Montecristo"
1/31/2022,Devil's Ridge:9,Nightshift,"Bitcoin, Treehorn, Lama Lama, Crimson, Crab Cake, Soybean"
1/31/2022,Jolly Roger:201,Tater Tot,"Shake It, CHOWDAH, fresh Prince, Texas Instruments, Spot, Happy Trees, Larry Legend, Green Egg, Magellan,"
1/29/2022,The Battering Ram:29,Count Chocula,"Nightshift, Banana Skin, Red Ryder, Goldn Boy, Maraschino, The Count of Montecristo, Spam, Flapjack, TB, Uzi, Bump Draft, Squeeze Box, Disc, Elwood, Potter, Quicken, Malware, FiddleStick, Rebar, Oh-Shag-Hennessy, Loveseat,"
1/29/2022,Thin Blue Line:17,"Scrooge McDuck, Scapula","Peppermint Pattie, Cheesesplint, Cosmo, Cherry Baked, Bitcoin, Kia, Cool J, Newt"
1/26/2022,The Earl:59,BumpDraft,"Montecristo, Duplo, The Final Rose, Spartan, Minecraft"
1/28/2022,The Falcon:18,Peppermint Pattie,"Bells, Hutz, Ocho, OPEC, Boucher, Count Chocula, Yunus, Botched, Flapjack, Grandpa Ninja, Jellystone, Crash Cart, Sweater Vest, Banana Slug, Yurt, YHC +1 and I regret that oversight..."
1/28/2022,Duck and Weave:32,Uzi,"Bedpan, Denali, Dinghy, Elf, Halfback, Nickelback, Nubbin, Oatmeal"
1/28/2022,Duck and Weave:32,Uzi,"Bedpan, Denali, Dinghy, Elf, Halfback, Nickelback, Nubbin, Oatmeal"
1/27/2022,The Heights:240,Soybean,"Banana Split, Cool J, Jasmine, Porterhouse, Treehorn"
1/26/2022,The Skunk:69,Nickelback,"Buffay, Denali, Dinghy, Elf, Milton, Muzungu, Nubbin, Toast McQueen,  Roy G Biv"
1/26/2022,Conjunction Junction:68,Malware,"Fish and Chips, Big Kat, Laces Out, Tricurious, Slug, Oatmeal, Yo Yo"
1/26/2022,The Big House:38,Chum,"Zook, Splashback, Paper Jam, Shuggah Shack, Marky Mark, Dueling Banjos, Turkey Jerky, Mothman"
1/26/2022,The King's Dominion:212,Kia,"Thirstay, Huts, Max Power, Scribble, Swamp, Count Chocula, Junis"
